Location,Population
"Washington County, PA","210,434"
"HI County, HI","209,790"
"Niagara County, NY","209,570"
"Fayetteville city, NC","209,496"
"Minnehaha County, SD","208,639"
"Santa Rosa County, FL","207,653"
"Elkhart County, IN","207,436"
"Grand Prairie city, TX","207,331"
"Rochester city, NY","207,282"
"Iredell County, NC","206,361"
"Richmond County, GA","206,303"
"Tallahassee city, FL","205,089"
"Little Rock city, AR","204,774"
"Huntington town, NY","204,706"
"Amarillo city, TX","203,729"
"Overland Park city, KS","202,893"
"Columbus city, GA","201,830"
"Muscogee County, GA","201,830"
"Mobile city, AL","201,367"
"Oxnard city, CA","200,616"
"Trumbull County, OH","200,300"
"Grand Rapids city, MI","200,117"
"Peoria city, AZ","199,924"
"Butler County, PA","199,341"
"Vancouver city, WA","198,992"
"Knoxville city, TN","198,722"
"Kaufman County, TX","197,829"
"Livingston County, MI","196,976"
"Broome County, NY","196,397"
"Birmingham city, AL","196,357"
"Birmingham, AL","196,357"
"Wake County, NC","196,210"
"Montgomery city, AL","195,818"
"Providence city, RI","194,706"
"Huntington Beach city, CA","193,151"
"El Dorado County, CA","192,823"
"Kent County, DE","192,690"
"Brownsville city, TX","191,967"
"Chattanooga city, TN","191,496"
"Fort Lauderdale city, FL","190,641"
"Tempe city, AZ","190,114"
"Akron city, OH","189,664"
"Paulding County, GA","188,549"
"Glendale city, CA","187,823"
"Saginaw County, MI","187,714"
"Clarksville city, TN","185,690"
"Ontario city, CA","185,285"
"Newport News city, VA","183,056"
"Ulster County, NY","182,977"
"Elk Grove city, CA","182,797"
"Cary town, NC","182,659"
"Aurora city, IL","180,710"
"Salem city, OR","180,406"
"Parker County, TX","179,707"
"Pembroke Pines city, FL","179,326"
"Aiken County, SC","179,245"
"Eugene city, OR","178,786"
"Davidson County, NC","177,809"
"Lower CT River Valley Planning Region, CT","177,540"
"Santa Rosa city, CA","177,524"
"Contra Costa County, CA","177,176"
"Carroll County, MD","177,108"
"Rancho Cucamonga city, CA","176,675"
"Shreveport city, LA","176,578"
"Scott County, IA","175,601"
"Kenton County, KY","174,862"
"Charles County, MD","174,478"
"Garden Grove city, CA","172,361"
"Indian River County, FL","172,139"
"Oceanside city, CA","170,941"
"Fort Collins city, CO","170,924"
"Springfield city, MO","170,596"
"Citrus County, FL","170,174"
"Stafford County, VA","168,919"
"Kenosha County, WI","168,754"
"Murfreesboro city, TN","168,387"
"Surprise city, AZ","167,564"
"Columbia County, GA","167,472"
"Lancaster city, CA","167,426"
"Monroe County, PA","166,523"
"Denton city, TX","165,998"
"Martin County, FL","165,666"
"Maui County, HI","163,688"
"Roseville city, CA","163,304"
"Palmdale city, CA","162,536"
"Hampshire County, MA","162,502"
"Corona city, CA","161,540"
"Salinas city, CA","160,783"
"Killeen city, TX","160,616"
"Paterson city, NJ","160,463"
"St. Clair County, MI","160,308"
"Jackson County, MI","160,233"
"Centre County, PA","159,805"
"Franklin County, PA","159,285"
"Alexandria city, VA","159,102"
"Hollywood city, FL","159,073"
"Hayward city, CA","158,440"
"Fresno County, CA","158,318"
"Coweta County, GA","158,233"
"Merrimack County, NH","157,869"
"Charleston city, SC","157,665"
"Bibb County, GA","157,056"
"Macon-Bibb County, GA","157,056"
"Lakewood city, CO","156,868"
"Penobscot County, ME","156,840"
"Sunnyvale city, CA","156,792"
"KS City city, KS","156,752"
"Monroe County, MI","156,045"
"Springfield city, MA","154,888"
"Sumter County, FL","154,693"
"Bellevue city, WA","154,377"
"Wheeling township, IL","153,558"
"Naperville city, IL","153,124"
"Livingston Parish, LA","152,886"
"Berrien County, MI","152,703"
"Spotsylvania County, VA","152,021"
"Douglas County, GA","151,887"
"Joliet city, IL","151,837"
"Bridgeport city, CT","151,599"
"Bridgeport town, CT","151,599"
"Mesquite city, TX","150,140"
"Pasadena city, TX","149,617"
"Olathe city, KS","149,035"
"Escondido city, CA","148,847"
"Savannah city, GA","148,808"
"McAllen city, TX","148,782"
"Gainesville city, FL","148,720"
"Pomona city, CA","147,966"
"Rockford city, IL","147,486"
"Sussex County, NJ","147,444"
"Thornton city, CO","146,689"
"Waco city, TX","146,608"
"Visalia city, CA","146,271"
"Syracuse city, NY","146,097"
"Harnett County, NC","146,096"
"Columbia city, SC","144,788"
"Midland city, TX","143,687"
"Miramar city, FL","143,242"
"Palm Bay city, FL","142,023"
"Lakewood township, NJ","141,985"
"Jackson city, MS","141,449"
"Coral Springs city, FL","140,808"
"Victorville city, CA","140,721"
"Elizabeth city, NJ","140,413"
"Fullerton city, CA","140,054"
"Meridian city, ID","139,740"
"Torrance city, CA","139,576"
"Stamford city, CT","139,134"
