Location,Population
"Lone Grove city, OK","5,276"
"Schuylkill Haven borough, PA","5,273"
"Mead township, OH","5,272"
"Stark County, IL","5,272"
"Walworth County, SD","5,270"
"Polk County, NE","5,269"
"Ketchikan Gateway Borough, AK","5,267"
"Springfield city, MI","5,267"
"Louisburg city, KS","5,266"
"Lehighton borough, PA","5,262"
"Shelley city, ID","5,262"
"Brule County, SD","5,261"
"Kingsbury County, SD","5,261"
"Westville town, IN","5,260"
"Olive township, MI","5,259"
"Warsaw town, NY","5,259"
"Caddo Mills city, TX","5,257"
"North Berwick town, ME","5,257"
"St. Helena city, CA","5,257"
"Lewisburg borough, PA","5,253"
"Becker city, MN","5,252"
"Grayson city, GA","5,252"
"Glenwood city, IA","5,250"
"Liberty town, NY","5,249"
"Andrews County, TX","5,246"
"Moultonborough town, NH","5,243"
"Vernon township, PA","5,243"
"Moab city, UT","5,242"
"Union Grove village, WI","5,241"
"Bristol village, WI","5,239"
"Margate City city, NJ","5,239"
"North Manchester town, IN","5,237"
"Tyrone township, MI","5,237"
"Newbury township, OH","5,234"
"Chardon city, OH","5,233"
"Holland township, NJ","5,232"
"North Oaks city, MN","5,232"
"Center city, TX","5,231"
"West Hazleton borough, PA","5,231"
"Chester city, SC","5,230"
"Lower Red Lake UT, MN","5,230"
"Nassau Bay city, TX","5,229"
"St. Martinville city, LA","5,229"
"Gladstone city, MI","5,226"
"Daytona Beach Shores city, FL","5,223"
"Canterbury town, CT","5,222"
"Northwood city, OH","5,222"
"Silverthorne town, CO","5,220"
"Johnson County, NE","5,219"
"Horseshoe Bay city, TX","5,218"
"Muleshoe city, TX","5,218"
"Lawrenceburg city, IN","5,216"
"Palmetto city, GA","5,213"
"Sabattus town, ME","5,213"
"Ghent town, NY","5,212"
"Harrietstown town, NY","5,212"
"Alexandria city, IN","5,211"
"Orange town, VA","5,210"
"Port Isabel city, TX","5,210"
"Gilmer city, TX","5,207"
"Mayville city, WI","5,205"
"Saline County, MO","5,205"
"East Eldorado township, IL","5,200"
"Guadalupe town, AZ","5,197"
"North Stonington town, CT","5,197"
"Ouray County, CO","5,197"
"Warren city, AR","5,196"
"Mineral County, MT","5,195"
"Veneta city, OR","5,194"
"Elko New Market city, MN","5,193"
"Kingfisher city, OK","5,192"
"Morris city, MN","5,192"
"Radnor township, IL","5,192"
"Deer Park city, WA","5,191"
"Ayden town, NC","5,190"
"Breckenridge city, TX","5,190"
"Porter town, IN","5,190"
"Camden town, ME","5,189"
"Eureka city, IL","5,189"
"Collinsville township, IL","5,188"
"Kalkaska township, MI","5,187"
"Northumberland town, NY","5,187"
"Toronto city, OH","5,187"
"Cherokee city, IA","5,186"
"McRae-Helena city, GA","5,186"
"Colebrookdale township, PA","5,185"
"Fox Chapel borough, PA","5,185"
"Frankenmuth city, MI","5,185"
"Eaton Rapids city, MI","5,184"
"Maurice River township, NJ","5,184"
"Poweshiek County, IA","5,184"
"Progreso city, TX","5,182"
"Piatt County, IL","5,180"
"Delavan town, WI","5,179"
"Martin County, TX","5,179"
"Renville County, MN","5,179"
"Cave Creek town, AZ","5,177"
"Deerfield town, MA","5,177"
"Loxley city, AL","5,176"
"Poplar Grove township, IL","5,172"
"Bangor borough, PA","5,171"
"Martic township, PA","5,171"
"Caruthersville city, MO","5,170"
"Elmsford village, NY","5,168"
"Royalton township, MI","5,168"
"Omak city, WA","5,167"
"Poplar Grove village, IL","5,165"
"Ashland city, MO","5,164"
"Birdsboro borough, PA","5,163"
"Shallotte town, NC","5,161"
"Lake Barrington village, IL","5,160"
"South Bay city, FL","5,160"
"Tillamook city, OR","5,157"
"Berkeley village, IL","5,155"
"Titusville city, PA","5,155"
"Berne township, OH","5,154"
"Toole County, MT","5,153"
"Allegan city, MI","5,152"
"Jarrell city, TX","5,151"
"North Salem town, NY","5,151"
"Pleasant Garden town, NC","5,151"
"Warren County, GA","5,148"
"Rio Grande County, CO","5,146"
"Big Sioux township, SD","5,145"
"Marilla town, NY","5,145"
"Vienna town, NY","5,143"
"Blakely city, GA","5,142"
"Duryea borough, PA","5,142"
"Hugo city, OK","5,142"
"Terrell Hills city, TX","5,142"
"Walton town, NY","5,140"
"Atchison County, MO","5,139"
"Bethel Census Area, AK","5,139"
"Monee village, IL","5,139"
"Utica city, MI","5,139"
"Liberty village, NY","5,136"
"Harlem township, OH","5,135"
"Laughery township, IN","5,135"
"McHenry County, ND","5,135"
"Guthrie County, IA","5,132"
"Madison city, GA","5,131"
"New Freedom borough, PA","5,131"
"Brewton city, AL","5,129"
"La Joya city, TX","5,129"
"West York borough, PA","5,127"
"Scipio township, IN","5,126"
"Kingsford city, MI","5,125"
"Middle Paxton township, PA","5,125"
"Osage Beach city, MO","5,123"
"Woodside town, CA","5,123"
"Uhrichsville city, OH","5,122"
"Saratoga town, WI","5,117"
"Bath town, NY","5,114"
"Weisenberg township, PA","5,114"
"Diboll city, TX","5,108"
"Jericho town, VT","5,108"
"Pickett County, TN","5,108"
"Winona Lake town, IN","5,107"
"Windsor Heights city, IA","5,106"
"Glennville city, GA","5,104"
"Lakeport city, CA","5,104"
"Bedford township, PA","5,099"
"Yukon-Koyukuk Census Area, AK","5,099"
"Wildwood city, NJ","5,098"
"Gypsum township, KS","5,096"
"Chadron city, NE","5,094"
"Swoyersville borough, PA","5,092"
"Lansing city, MI","5,091"
"Clarks Summit borough, PA","5,089"
"Harrington Park borough, NJ","5,088"
"Peach Bottom township, PA","5,088"
"Big Stone Gap town, VA","5,087"
"Warren town, MA","5,086"
"Vincennes township, IN","5,085"
"Bolivar city, TN","5,084"
"Ira township, MI","5,084"
"Mechanicville city, NY","5,083"
"Whitehouse village, OH","5,083"
"Hamilton County, NY","5,082"
"Dodge County, NE","5,080"
"Kossuth County, IA","5,080"
"Jackson city, CA","5,079"
"Dodgeville city, WI","5,077"
"Savannah city, MO","5,076"
"Tupper Lake town, NY","5,076"
"Duquesne city, PA","5,074"
"Harpswell town, ME","5,074"
"Richlands town, VA","5,074"
"Broadalbin town, NY","5,072"
"Lenox town, MA","5,072"
"Woodruff city, SC","5,072"
"Connell city, WA","5,071"
"Bullard town, TX","5,070"
"Paradise township, MI","5,069"
"Big Stone County, MN","5,067"
"Ixonia town, WI","5,067"
"Lonsdale city, MN","5,066"
"Northfield town, NH","5,066"
"Williamston town, NC","5,066"
"Kochville township, MI","5,065"
"Boylston town, MA","5,064"
"Jefferson township, PA","5,064"
"South Barrington village, IL","5,061"
"Scurry County, TX","5,060"
"Warren town, ME","5,060"
"Davison city, MI","5,059"
"Franklin borough, NJ","5,059"
"Sawmills town, NC","5,059"
"Tucumcari city, NM","5,058"
"Middletown town, MD","5,055"
"Midway town, NC","5,053"
"Richland Center city, WI","5,052"
"Minocqua town, WI","5,051"
"Swatara township, PA","5,050"
"Buckhannon city, WV","5,049"
"Creedmoor city, NC","5,049"
"Denton town, MD","5,049"
"Butler township, PA","5,048"
"Big Bear Lake city, CA","5,044"
"Williams charter township, MI","5,044"
"Paxton town, MA","5,043"
"Floyd County, TX","5,042"
"Greene town, NY","5,042"
"Leonardtown town, MD","5,041"
"Bucksport town, ME","5,039"
"New Martinsville city, WV","5,038"
"Redwood Falls city, MN","5,038"
"Barnstead town, NH","5,036"
"Lyon County, IA","5,035"
"Stevens County, KS","5,035"
"Pana city, IL","5,034"
"Milan village, IL","5,033"
"Nelson township, MI","5,033"
"Crosby County, TX","5,030"
"Adairsville city, GA","5,029"
"Camilla city, GA","5,029"
"Maine town, NY","5,029"
"Fellsmere city, FL","5,028"
"Midland town, NC","5,027"
"Lindstrom city, MN","5,026"
"Beaver County, OK","5,025"
"Ste. Genevieve city, MO","5,025"
"Penn Yan village, NY","5,024"
"Sea Cliff village, NY","5,024"
"Buellton city, CA","5,023"
"Elmwood charter township, MI","5,023"
"Upper Yoder township, PA","5,023"
"Calistoga city, CA","5,022"
"Annville township, PA","5,020"
"Epsom town, NH","5,020"
"Island Park village, NY","5,019"
"Lyon County, MN","5,015"
"Pound Ridge town, NY","5,014"
"East Troy village, WI","5,011"
"Manheim borough, PA","5,011"
"Colville city, WA","5,009"
"Elk Ridge city, UT","5,003"
"Medical Lake city, WA","5,003"
"Falcon Heights city, MN","5,002"
"King City city, OR","5,002"
"Mendham borough, NJ","5,000"
"Adams County, ID","4,998"
"Hartley County, TX","4,996"
"River Falls city, WI","4,995"
"IA Falls city, IA","4,993"
"Daleville city, AL","4,992"
"Eden township, IN","4,992"
"Port Allen city, LA","4,991"
"Coloma charter township, MI","4,990"
"Indian Wells city, CA","4,989"
"Pittsboro town, NC","4,989"
"Sparta city, TN","4,989"
"Lapeer township, MI","4,987"
"Munroe Falls city, OH","4,987"
"Baldwin City city, KS","4,985"
"Candor town, NY","4,985"
"Wauchula city, FL","4,984"
"Deerfield town, NH","4,983"
"Licking township, OH","4,983"
"St. George township, KS","4,981"
"Cherokee Village city, AR","4,979"
"Northvale borough, NJ","4,979"
"Johnston County, OK","4,978"
"Edwardsville borough, PA","4,977"
"Telford borough, PA","4,977"
"Oneida County, ID","4,976"
"Ardsley village, NY","4,974"
"Lawrence County, AR","4,971"
"Rocky Mount town, VA","4,971"
"Straban township, PA","4,971"
"Wahoo city, NE","4,970"
"Saltillo city, MS","4,968"
"Winnebago township, IL","4,968"
"Kenneth City town, FL","4,966"
"Hicksville township, OH","4,965"
"South Bound Brook borough, NJ","4,965"
"Wadesboro town, NC","4,965"
"Hampden town, MA","4,964"
"Pinckneyville city, IL","4,963"
"Alva city, OK","4,962"
"Vinton city, IA","4,962"
"Surf City town, NC","4,961"
"Colona city, IL","4,960"
"Piney township, MO","4,960"
"Baker County, OR","4,959"
"Richland County, ND","4,959"
"Sanpete County, UT","4,959"
"Royersford borough, PA","4,958"
"Vergennes township, MI","4,958"
"Bisbee city, AZ","4,957"
"Brady city, TX","4,956"
"Vandergrift borough, PA","4,955"
"Fergus County, MT","4,954"
"Hollis town, ME","4,954"
"St. Clairsville city, OH","4,954"
"Delanco township, NJ","4,953"
"Clarkdale town, AZ","4,951"
"Chisago Lake township, MN","4,950"
"Nashville city, GA","4,950"
"Old Westbury village, NY","4,950"
"Oneonta town, NY","4,950"
"Uinta County, WY","4,950"
"Freeburg township, IL","4,947"
"Lower Frederick township, PA","4,947"
"Cheraw town, SC","4,946"
"Lincoln town, ME","4,945"
"Wenham town, MA","4,945"
"White County, IL","4,945"
"Circle Pines city, MN","4,944"
"Hocking township, OH","4,944"
"Old Lycoming township, PA","4,944"
"Baxley city, GA","4,943"
"Chatsworth city, GA","4,943"
"West Jefferson village, OH","4,943"
"Granite Falls town, NC","4,942"
"Schuyler Falls town, NY","4,942"
"Demarest borough, NJ","4,941"
"Luverne city, MN","4,941"
"Point Pleasant Beach borough, NJ","4,941"
"West Mead township, PA","4,940"
"Brielle borough, NJ","4,938"
"Hampton township, NJ","4,938"
"Ironwood city, MI","4,938"
"Barton County, KS","4,937"
"Triana city, AL","4,936"
"Howard County, MO","4,935"
"Staunton city, IL","4,935"
"Floyd County, IA","4,931"
"Hinton town, OK","4,931"
"Ballston Spa village, NY","4,930"
"Dickey County, ND","4,930"
"Midfield city, AL","4,930"
"Fortville town, IN","4,927"
"Rio Communities city, NM","4,927"
"Sheridan County, NE","4,927"
"Tisbury town, MA","4,927"
"Concordia city, KS","4,926"
"Lexington township, OH","4,925"
"Turtle Creek borough, PA","4,925"
"Londonderry township, PA","4,924"
"Wirt County, WV","4,924"
"Newfield town, NY","4,922"
"Penns Grove borough, NJ","4,921"
"Turtle Mountain UT, ND","4,921"
"South Hill town, VA","4,920"
"Charlestown town, NH","4,919"
"Littlestown borough, PA","4,917"
"Randolph town, VT","4,917"
"De Witt County, IL","4,912"
"Martin County, MN","4,911"
"Bethel township, OH","4,910"
"Valley Center township, KS","4,907"
"Flemington borough, NJ","4,905"
"Columbiana city, AL","4,904"
"Sidney town, ME","4,904"
"Potsdam town, NY","4,903"
"GA town Verm, nt","4,901"
"Lower Alsace township, PA","4,900"
"Fremont town, NH","4,899"
"Ross township, MI","4,899"
"Harlan city, IA","4,898"
"Hallsville city, TX","4,896"
"Muskingum township, OH","4,896"
"Beaufort town, NC","4,895"
"Bolton town, CT","4,895"
"Forsyth city, GA","4,895"
"New Castle town, CO","4,894"
"Redstone township, PA","4,894"
"Wellington village, OH","4,894"
"Adams town, NY","4,893"
"Breckenridge town, CO","4,892"
"Wamego city, KS","4,888"
"Cerro Gordo County, IA","4,880"
"Edgewater city, CO","4,880"
"Fountain Hill borough, PA","4,880"
"Scott County, IL","4,880"
"Pulaski County, IL","4,879"
"Lowville town, NY","4,878"
"Shenandoah city, IA","4,878"
"Otero County, CO","4,877"
"Dawsonville city, GA","4,875"
"Aroma township, IL","4,872"
"Mason County, IL","4,872"
"Bluefield town, VA","4,871"
"Mount Pleasant city, TN","4,871"
"Abbeville city, SC","4,870"
"Thayer County, NE","4,870"
"LaFayette town, NY","4,869"
"Platte City city, MO","4,867"
"Erwin town, NC","4,865"
"Danbury township, OH","4,864"
"American Falls city, ID","4,863"
"Winfield city, AL","4,862"
"Spring Lake Heights borough, NJ","4,859"
"Silverton village, OH","4,858"
"Allegan township, MI","4,856"
"Conklin town, NY","4,856"
"Coopersville city, MI","4,856"
"Saranac Lake village, NY","4,856"
"Carthage city, MS","4,855"
"Preston town, CT","4,855"
"Sonora city, CA","4,855"
"West Milton village, OH","4,855"
"Hawkinsville city, GA","4,854"
"Valparaiso city, FL","4,852"
"Dawson County, NE","4,851"
"Lillington town, NC","4,848"
"Alexandria township, NJ","4,845"
"Sulphur city, OK","4,844"
"WA County Id, ho","4,844"
"Willits city, CA","4,844"
"Newton town, NH","4,843"
"Springtown city, TX","4,843"
"Wheatland town, NY","4,843"
"Canton city, TX","4,841"
"Sayre city, OK","4,841"
"Greenwich town, NY","4,840"
"Knox township, IL","4,840"
"Madison town, ME","4,839"
"Needles city, CA","4,839"
"Ulysses town, NY","4,839"
"Holbrook city, AZ","4,837"
"Cochran city, GA","4,836"
"Desloge city, MO","4,836"
"Flower Hill village, NY","4,836"
"Richwood city, TX","4,835"
"Wells township, MI","4,835"
"Aberdeen city, MS","4,833"
"Dellwood city, MO","4,833"
"Creve Coeur village, IL","4,832"
"Lexington village, OH","4,832"
"Cheboygan city, MI","4,831"
"Craig County, VA","4,829"
"Lemoyne borough, PA","4,824"
"Wheeler County, TX","4,824"
"Caldwell city, TX","4,820"
"Berryville town, VA","4,819"
"Gibraltar city, MI","4,819"
"Berrien township, MI","4,817"
"Shelby town, NY","4,817"
"Ida township, MI","4,815"
"Lake Worth city, TX","4,813"
"Luray town, VA","4,813"
"Dilworth city, MN","4,811"
"Florence city, MS","4,810"
"Palos Park village, IL","4,810"
"Rives township, MI","4,809"
"Stewart County, GA","4,809"
"Hazard city, KY","4,808"
"Centralia city, MO","4,807"
"Marksville city, LA","4,805"
"Clinton city, IN","4,802"
"Keyser city, WV","4,802"
"Avon town, MA","4,801"
"Chickasaw County, IA","4,801"
"Parker city, FL","4,801"
"Dryden township, MI","4,800"
"Ottawa Hills village, OH","4,800"
"Wahkiakum County, WA","4,800"
"Winchester city, IN","4,800"
"Weaverville town, NC","4,799"
"North Brookfield town, MA","4,797"
"Windom city, MN","4,797"
"Rockford city, MN","4,796"
"Perry town, NY","4,795"
"Westmont borough, PA","4,795"
"Owosso charter township, MI","4,794"
"Constantia town, NY","4,791"
"Moxee city, WA","4,791"
"Fairfield city, IL","4,790"
"Higginsville city, MO","4,789"
"Brentwood town, NH","4,787"
"Glenburn town, ME","4,785"
"Pike County, IL","4,784"
"Coopertown town, TN","4,781"
"Chittenango village, NY","4,780"
"DeWitt city, MI","4,780"
"Marseilles city, IL","4,779"
"Hughes County, OK","4,778"
"Carlisle County, KY","4,777"
"Hurstbourne city, KY","4,777"
"Le Claire city, IA","4,776"
"Humboldt city, IA","4,774"
"Watertown city, MN","4,774"
"Sterling township, OH","4,772"
"Centreville town, MD","4,771"
"Morgan's Point Resort city, TX","4,771"
"Ovilla city, TX","4,771"
"WA County Color, do","4,771"
"Bloomfield village, WI","4,766"
"Allenstown town, NH","4,765"
"Baughman township, OH","4,765"
"Worland city, WY","4,765"
"Hector town, NY","4,764"
"Jarvis township, IL","4,763"
"Buhl city, ID","4,761"
"Elberton city, GA","4,760"
"Glendive city, MT","4,760"
"Boiling Springs town, NC","4,759"
"Ashville village, OH","4,758"
"Ranlo town, NC","4,756"
"Colesville town, NY","4,755"
"Jefferson County, IA","4,754"
"Vermilion township, OH","4,753"
"Green Tree borough, PA","4,751"
"Ogallala city, NE","4,751"
"St. James city, MN","4,750"
"Delmar town, MD","4,748"
"Edwardsville city, KS","4,748"
"Rooks County, KS","4,748"
"St. Clair city, MO","4,748"
"Fox River Grove village, IL","4,747"
"Oregon-Nashua township, IL","4,747"
"North Franklin township, PA","4,746"
"Crockery township, MI","4,745"
"Rockingham town, VT","4,745"
"Cotton Hill township, MO","4,744"
"Fort Ann town, NY","4,744"
"Walker township, PA","4,744"
"Haslet city, TX","4,743"
"Hinesburg town, VT","4,742"
"Jenkintown borough, PA","4,740"
"Morton township, MI","4,740"
"Shannon Hills city, AR","4,740"
"Beckham County, OK","4,738"
"Codington County, SD","4,737"
"Dunn town, WI","4,737"
"Huxley city, IA","4,737"
"Mount Rushmore UT, SD","4,735"
"Westlake city, LA","4,735"
"Phillips County, KS","4,733"
"Ford County, KS","4,732"
"Murray town, NY","4,731"
"Stutsman County, ND","4,731"
"Coldwater village, OH","4,729"
"White township, NJ","4,729"
"Beecher village, IL","4,727"
"Henrietta township, MI","4,727"
"Benton city, KY","4,726"
"Salem city, MO","4,726"
"Commercial township, NJ","4,724"
"Noble County, OK","4,724"
"Montebello village, NY","4,723"
"Waterloo village, NY","4,722"
"Wood Village city, OR","4,722"
"Attica township, MI","4,721"
"Rogersville town, TN","4,720"
"Thorn township, OH","4,719"
"Aurora city, NE","4,715"
"Tallassee city, AL","4,715"
"Eldon city, MO","4,714"
"Holts Summit city, MO","4,714"
"Valdese town, NC","4,713"
"Edgmont township, PA","4,712"
"Sugarcreek borough, PA","4,712"
"Crescent Springs city, KY","4,707"
"Minisink town, NY","4,706"
"Piedmont city, AL","4,706"
"Hayes township, MI","4,705"
"Salt Creek township, OH","4,705"
"Springfield township, IN","4,704"
"Crystal City city, MO","4,703"
"Mount Vernon city, MO","4,703"
"Camden town, NY","4,702"
"Granite Falls city, WA","4,702"
"Hambden township, OH","4,702"
"Northwood town, NH","4,702"
"Folkston city, GA","4,701"
"Hartwell city, GA","4,701"
"Mount Ephraim borough, NJ","4,700"
"Kimberly city, AL","4,699"
"West Pittston borough, PA","4,699"
"Aubry township, KS","4,698"
"Livingston County, MO","4,698"
"Scotland County, MO","4,698"
"Champaign township, IL","4,696"
"Prospect city, KY","4,696"
"Clearspring township, IN","4,694"
"Webb County, TX","4,694"
"Southampton village, NY","4,693"
"Randleman city, NC","4,692"
"Hoopeston city, IL","4,691"
"Calhoun County, AR","4,690"
"Gallatin County, IL","4,690"
"Mountain Grove city, MO","4,690"
"Shelby town, WI","4,690"
"Whiteville city, NC","4,688"
"Columbia city, KY","4,685"
"Sauk Centre city, MN","4,682"
"Blair township, PA","4,681"
"Chippewa township, MI","4,681"
"Gallipolis township, OH","4,681"
"West Newbury town, MA","4,680"
"Carmi city, IL","4,679"
"Cameron Parish, LA","4,678"
"Montoursville borough, PA","4,678"
"Negaunee city, MI","4,676"
"Jay town, ME","4,674"
"Oak Park Heights city, MN","4,674"
"Florence County, WI","4,673"
"Neosho County, KS","4,673"
"Gentry city, AR","4,672"
"Vilonia city, AR","4,672"
"Rock Hill city, MO","4,669"
"Crystal Springs city, MS","4,668"
"Hokes Bluff city, AL","4,668"
"Utqiagvik city, AK","4,668"
"Brisbane city, CA","4,667"
"Castor township, MO","4,667"
"Chisholm city, MN","4,667"
"Dickinson County, IA","4,666"
"Ahoskie town, NC","4,665"
"Warrington township, PA","4,665"
"French Lick township, IN","4,664"
"Early County, GA","4,663"
"Raymond town, ME","4,662"
"Greenville town, NY","4,661"
"Cornwall borough, PA","4,660"
"Hollister city, MO","4,659"
"Tuscola city, IL","4,658"
"Arnold city, PA","4,657"
"Taycheedah town, WI","4,657"
"Jacksboro city, TX","4,656"
"Buffalo city, WY","4,655"
"Lyman town, ME","4,655"
"Vassalboro town, ME","4,653"
"Chesaning township, MI","4,651"
"Denning township, IL","4,651"
"Koochiching County, MN","4,651"
"Lafayette township, IL","4,651"
"Ligonier city, IN","4,650"
"Bradford township, PA","4,649"
"Granger township, OH","4,648"
"Sadsbury township, PA","4,648"
"Flora city, IL","4,647"
"Mantua township, OH","4,647"
"Strasburg township, PA","4,646"
"Garza County, TX","4,645"
"Mountain Lakes borough, NJ","4,644"
"East Palestine village, OH","4,643"
"Dillingham Census Area, AK","4,642"
"Madisonville city, TX","4,642"
"Hearne city, TX","4,641"
"Fulton city, MS","4,640"
"Jerome township, MI","4,638"
"Oconto city, WI","4,638"
"Trenton town, WI","4,636"
"Sherman village, IL","4,634"
"Whiteford township, MI","4,632"
"Clayton town, NY","4,631"
"Manchester township, MI","4,630"
"Meadows Place city, TX","4,630"
"Breese city, IL","4,629"
"Ticonderoga town, NY","4,629"
"CA borough, PA","4,628"
"California borough, PA","4,628"
"Lebanon city, IL","4,628"
"Lafayette city, OR","4,627"
"Danville town, NH","4,625"
"East Petersburg borough, PA","4,625"
"Hot Springs County, WY","4,625"
"Devine city, TX","4,622"
"Sykesville town, MD","4,622"
"Bridgeville borough, PA","4,620"
"Hancock city, MI","4,620"
"Haverhill town, NH","4,620"
"Henry township, IN","4,620"
"Fremont city, MI","4,617"
"Belleair town, FL","4,614"
"Republic County, KS","4,613"
"Childersburg city, AL","4,612"
"Manlius village, NY","4,611"
"China Grove town, NC","4,610"
"Moral township, IN","4,610"
"Caernarvon township, PA","4,609"
"Foster town, RI","4,608"
"Ossipee town, NH","4,608"
"Ringgold County, IA","4,608"
"Brookland city, AR","4,607"
"Manitou Springs city, CO","4,607"
"Sheffield village, OH","4,605"
"Medford city, WI","4,604"
"Bremen town, IN","4,603"
"Winnsboro city, LA","4,602"
"Wooster township, OH","4,602"
"West Reading borough, PA","4,600"
"China town, ME","4,599"
"Neptune City borough, NJ","4,599"
"La Salle township, MI","4,598"
"Custer County, ID","4,597"
"Lexington city, MO","4,595"
"Alexander County, IL","4,594"
"Avalon borough, PA","4,594"
"Crane County, TX","4,594"
"Duncan town, SC","4,594"
"Olympia Fields village, IL","4,593"
"Cortland town, IL","4,592"
"Delaware township, NJ","4,592"
"Tyrone township, IL","4,592"
"Mitchell County, IA","4,590"
"Selmer town, TN","4,590"
"Ann Arbor charter township, MI","4,589"
"Barnwell city, SC","4,589"
"Dewey-Humboldt town, AZ","4,589"
"Pocola town, OK","4,588"
"Arcadia town, NY","4,587"
"Carrizo Springs city, TX","4,586"
"Lee town, NH","4,586"
"Somerset township, MI","4,586"
"Mills town, WY","4,584"
"Prescott city, WI","4,584"
"Gardner township, IL","4,583"
"Hyde County, NC","4,583"
"Jim Hogg County, TX","4,583"
"Union Vale town, NY","4,583"
"Fredericktown city, MO","4,581"
"Greendale city, IN","4,581"
"Towamensing township, PA","4,579"
"Raeford city, NC","4,578"
"Ellis County, KS","4,577"
"Grafton city, WV","4,575"
"Haughton town, LA","4,574"
"Scottsville city, KY","4,574"
"Belton city, SC","4,573"
"Milton town, NH","4,572"
"Phoenix city, OR","4,570"
"Jourdanton city, TX","4,569"
"Bloomington township, IN","4,568"
"Robbins village, IL","4,567"
"Nowthen city, MN","4,565"
"Kewaskum village, WI","4,564"
"Marshall township, IN","4,564"
"Whiteville town, TN","4,564"
"Mills County, TX","4,563"
"West Penn township, PA","4,562"
"Oneida town, WI","4,561"
"Vermilion city, OH","4,561"
"Dyersville city, IA","4,559"
"Jeanerette city, LA","4,557"
"Buena borough, NJ","4,555"
"Nelsonville city, OH","4,555"
"Kildeer village, IL","4,554"
"Morgan city, UT","4,553"
"Soldotna city, AK","4,553"
"Hamburg borough, PA","4,552"
"Pittsburg city, TX","4,552"
"Clay County, AR","4,551"
"Wellsville village, NY","4,551"
"Phillips County, AR","4,549"
"Farmville town, NC","4,547"
"New Boston city, TX","4,546"
"Hadley township, MI","4,545"
"Mansfield city, LA","4,545"
"Jim Thorpe borough, PA","4,543"
"Waverly city, NE","4,543"
"Wayland city, MI","4,543"
"Anthony town, TX","4,542"
"Hummelstown borough, PA","4,542"
"Shelbyville city, IL","4,540"
"North Hampton town, NH","4,539"
"Putnam County, MO","4,539"
"Sellersville borough, PA","4,538"
"Camanche city, IA","4,536"
"Newton Falls village, OH","4,536"
"South Tucson city, AZ","4,535"
"Benson town, NC","4,534"
"Cobleskill village, NY","4,533"
"Dardanelle city, AR","4,531"
"Mosinee city, WI","4,531"
"Pin Oak township, IL","4,531"
"Narberth borough, PA","4,530"
"La Verkin city, UT","4,529"
"Clintonville city, WI","4,528"
"Dexter city, MI","4,528"
"West Wendover city, NV","4,528"
"Little Falls city, NY","4,527"
"Holland town, WI","4,525"
"Wheatfield township, IN","4,523"
"CA city Misso, ri","4,522"
"California city, MO","4,522"
"Crawford township, OH","4,522"
"Middlefield township, OH","4,522"
"Mahoning township, PA","4,521"
"Sunset Beach town, NC","4,521"
"Mancelona township, MI","4,519"
"McLoud city, OK","4,519"
"Freeburg village, IL","4,518"
"Mount Vernon city, IA","4,518"
"Seat Pleasant city, MD","4,518"
"Metamora township, MI","4,517"
"Roscommon township, MI","4,517"
"Wingate town, NC","4,517"
"Evansdale city, IA","4,515"
"Weston Lakes city, TX","4,514"
"Appanoose County, IA","4,512"
"Clayton town, DE","4,511"
"Nassau town, NY","4,510"
"Newport township, PA","4,510"
"Pennington County, MN","4,510"
"Perryville town, MD","4,510"
"Derby town, VT","4,507"
"Waynesboro city, MS","4,507"
"Crossett city, AR","4,506"
"Elk township, NJ","4,506"
"Marlow city, OK","4,505"
"La Grange city, TX","4,504"
"Wolverine Lake village, MI","4,504"
"Hamblen township, IN","4,503"
"Jessup borough, PA","4,503"
"Schley County, GA","4,503"
"Huntingdon town, TN","4,502"
"Lincoln city, ND","4,502"
"Madison County, NE","4,502"
"Menands village, NY","4,501"
"Newport town, NC","4,501"
"Dover-Foxcroft town, ME","4,500"
"Marion town, NY","4,499"
"Chardon township, OH","4,498"
"Georgetown village, OH","4,498"
"Lincoln-Fort Rice UT, ND","4,498"
"Mount Olive town, NC","4,498"
"Riverside city, MO","4,498"
"WA town New Y, rk","4,498"
"Champion town, NY","4,497"
"Kiskiminetas township, PA","4,497"
"Arundel town, ME","4,496"
"Lemont township, IL","4,496"
"Berwick town, LA","4,495"
"Pocopson township, PA","4,495"
"Watseka city, IL","4,495"
"Acme township, MI","4,494"
"Brady township, MI","4,494"
"Jenkins township, PA","4,494"
"Edenton town, NC","4,492"
"Greene town, ME","4,492"
"Wapato city, WA","4,492"
"Cedarville village, OH","4,491"
"Whiting city, IN","4,491"
"Mulberry city, FL","4,488"
"Phillips County, CO","4,488"
"Somerset town, WI","4,488"
"Township 1, NE","4,488"
"German township, PA","4,487"
"Lake County, SD","4,485"
"Morrill County, NE","4,485"
"Oak Hill city, TN","4,485"
"Sherborn town, MA","4,485"
"Springhill city, LA","4,485"
"Deep River town, CT","4,483"
"Converse County, WY","4,482"
"Donora borough, PA","4,482"
"Enfield town, NH","4,482"
"Hunters Creek Village city, TX","4,482"
"Whitewater city, WI","4,482"
"Binghamton town, NY","4,478"
"Edinburgh town, IN","4,478"
"Jackson city, AL","4,477"
"Atchison County, KS","4,475"
"Mineral County, NV","4,475"
"Hannibal town, NY","4,473"
"Stone Park village, IL","4,473"
"Peters township, PA","4,470"
"Louisa County, IA","4,469"
"Big Horn County, WY","4,468"
